tabell_navn;aar;bydel_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2013;01; ;alle;person;46290;
befolkning_innvandringsgrunn;2013;01;alle;alle;person;13451;
befolkning_innvandringsgrunn;2013;01;arbeid;alle;person;1267;
befolkning_innvandringsgrunn;2013;01;flukt;alle;person;404;
befolkning_innvandringsgrunn;2013;01;familie;alle;person;728;
befolkning_innvandringsgrunn;2013;01;annet;alle;person;226;
befolkning_innvandringsgrunn;2013;01;uoppgitt;alle;person;10826;
befolkning_innvandringsgrunn;2013;01;alle;1;person;1512;
befolkning_innvandringsgrunn;2013;01;arbeid;1;person;919;
befolkning_innvandringsgrunn;2013;01;flukt;1;person;202;
befolkning_innvandringsgrunn;2013;01;familie;1;person;268;
befolkning_innvandringsgrunn;2013;01;annet;1;person;104;
befolkning_innvandringsgrunn;2013;01;uoppgitt;1;person;19;
befolkning_innvandringsgrunn;2013;01;alle;0;person;11939;
befolkning_innvandringsgrunn;2013;01;arbeid;0;person;348;
befolkning_innvandringsgrunn;2013;01;flukt;0;person;202;
befolkning_innvandringsgrunn;2013;01;familie;0;person;460;
befolkning_innvandringsgrunn;2013;01;annet;0;person;122;
befolkning_innvandringsgrunn;2013;01;uoppgitt;0;person;10807;
befolkning_innvandringsgrunn;2013;02; ;alle;person;50507;
befolkning_innvandringsgrunn;2013;02;alle;alle;person;13923;
befolkning_innvandringsgrunn;2013;02;arbeid;alle;person;1820;
befolkning_innvandringsgrunn;2013;02;flukt;alle;person;342;
befolkning_innvandringsgrunn;2013;02;familie;alle;person;864;
befolkning_innvandringsgrunn;2013;02;annet;alle;person;315;
befolkning_innvandringsgrunn;2013;02;uoppgitt;alle;person;10582;
befolkning_innvandringsgrunn;2013;02;alle;1;person;1995;
befolkning_innvandringsgrunn;2013;02;arbeid;1;person;1304;
befolkning_innvandringsgrunn;2013;02;flukt;1;person;180;
befolkning_innvandringsgrunn;2013;02;familie;1;person;322;
befolkning_innvandringsgrunn;2013;02;annet;1;person;152;
befolkning_innvandringsgrunn;2013;02;uoppgitt;1;person;37;
befolkning_innvandringsgrunn;2013;02;alle;0;person;11928;
befolkning_innvandringsgrunn;2013;02;arbeid;0;person;516;
befolkning_innvandringsgrunn;2013;02;flukt;0;person;162;
befolkning_innvandringsgrunn;2013;02;familie;0;person;542;
befolkning_innvandringsgrunn;2013;02;annet;0;person;163;
befolkning_innvandringsgrunn;2013;02;uoppgitt;0;person;10545;
befolkning_innvandringsgrunn;2013;03; ;alle;person;37053;
befolkning_innvandringsgrunn;2013;03;alle;alle;person;7480;
befolkning_innvandringsgrunn;2013;03;arbeid;alle;person;705;
befolkning_innvandringsgrunn;2013;03;flukt;alle;person;238;
befolkning_innvandringsgrunn;2013;03;familie;alle;person;440;
befolkning_innvandringsgrunn;2013;03;annet;alle;person;193;
befolkning_innvandringsgrunn;2013;03;uoppgitt;alle;person;5904;
befolkning_innvandringsgrunn;2013;03;alle;1;person;829;
befolkning_innvandringsgrunn;2013;03;arbeid;1;person;476;
befolkning_innvandringsgrunn;2013;03;flukt;1;person;108;
befolkning_innvandringsgrunn;2013;03;familie;1;person;165;
befolkning_innvandringsgrunn;2013;03;annet;1;person;70;
befolkning_innvandringsgrunn;2013;03;uoppgitt;1;person;10;
befolkning_innvandringsgrunn;2013;03;alle;0;person;6651;
befolkning_innvandringsgrunn;2013;03;arbeid;0;person;229;
befolkning_innvandringsgrunn;2013;03;flukt;0;person;130;
befolkning_innvandringsgrunn;2013;03;familie;0;person;275;
befolkning_innvandringsgrunn;2013;03;annet;0;person;123;
befolkning_innvandringsgrunn;2013;03;uoppgitt;0;person;5894;
befolkning_innvandringsgrunn;2013;04; ;alle;person;34982;
befolkning_innvandringsgrunn;2013;04;alle;alle;person;7971;
befolkning_innvandringsgrunn;2013;04;arbeid;alle;person;1178;
befolkning_innvandringsgrunn;2013;04;flukt;alle;person;167;
befolkning_innvandringsgrunn;2013;04;familie;alle;person;482;
befolkning_innvandringsgrunn;2013;04;annet;alle;person;309;
befolkning_innvandringsgrunn;2013;04;uoppgitt;alle;person;5835;
befolkning_innvandringsgrunn;2013;04;alle;1;person;1259;
befolkning_innvandringsgrunn;2013;04;arbeid;1;person;822;
befolkning_innvandringsgrunn;2013;04;flukt;1;person;92;
befolkning_innvandringsgrunn;2013;04;familie;1;person;199;
befolkning_innvandringsgrunn;2013;04;annet;1;person;132;
befolkning_innvandringsgrunn;2013;04;uoppgitt;1;person;14;
befolkning_innvandringsgrunn;2013;04;alle;0;person;6712;
befolkning_innvandringsgrunn;2013;04;arbeid;0;person;356;
befolkning_innvandringsgrunn;2013;04;flukt;0;person;75;
befolkning_innvandringsgrunn;2013;04;familie;0;person;283;
befolkning_innvandringsgrunn;2013;04;annet;0;person;177;
befolkning_innvandringsgrunn;2013;04;uoppgitt;0;person;5821;
befolkning_innvandringsgrunn;2013;05; ;alle;person;53573;
befolkning_innvandringsgrunn;2013;05;alle;alle;person;12349;
befolkning_innvandringsgrunn;2013;05;arbeid;alle;person;2068;
befolkning_innvandringsgrunn;2013;05;flukt;alle;person;147;
befolkning_innvandringsgrunn;2013;05;familie;alle;person;869;
befolkning_innvandringsgrunn;2013;05;annet;alle;person;387;
befolkning_innvandringsgrunn;2013;05;uoppgitt;alle;person;8878;
befolkning_innvandringsgrunn;2013;05;alle;1;person;1901;
befolkning_innvandringsgrunn;2013;05;arbeid;1;person;1452;
befolkning_innvandringsgrunn;2013;05;flukt;1;person;65;
befolkning_innvandringsgrunn;2013;05;familie;1;person;250;
befolkning_innvandringsgrunn;2013;05;annet;1;person;113;
befolkning_innvandringsgrunn;2013;05;uoppgitt;1;person;21;
befolkning_innvandringsgrunn;2013;05;alle;0;person;10448;
befolkning_innvandringsgrunn;2013;05;arbeid;0;person;616;
befolkning_innvandringsgrunn;2013;05;flukt;0;person;82;
befolkning_innvandringsgrunn;2013;05;familie;0;person;619;
befolkning_innvandringsgrunn;2013;05;annet;0;person;274;
befolkning_innvandringsgrunn;2013;05;uoppgitt;0;person;8857;
befolkning_innvandringsgrunn;2013;06; ;alle;person;31443;
befolkning_innvandringsgrunn;2013;06;alle;alle;person;4573;
befolkning_innvandringsgrunn;2013;06;arbeid;alle;person;654;
befolkning_innvandringsgrunn;2013;06;flukt;alle;person;90;
befolkning_innvandringsgrunn;2013;06;familie;alle;person;339;
befolkning_innvandringsgrunn;2013;06;annet;alle;person;246;
befolkning_innvandringsgrunn;2013;06;uoppgitt;alle;person;3244;
befolkning_innvandringsgrunn;2013;06;alle;1;person;646;
befolkning_innvandringsgrunn;2013;06;arbeid;1;person;463;
befolkning_innvandringsgrunn;2013;06;flukt;1;person;45;
befolkning_innvandringsgrunn;2013;06;familie;1;person;96;
befolkning_innvandringsgrunn;2013;06;annet;1;person;33;
befolkning_innvandringsgrunn;2013;06;uoppgitt;1;person;9;
befolkning_innvandringsgrunn;2013;06;alle;0;person;3927;
befolkning_innvandringsgrunn;2013;06;arbeid;0;person;191;
befolkning_innvandringsgrunn;2013;06;flukt;0;person;45;
befolkning_innvandringsgrunn;2013;06;familie;0;person;243;
befolkning_innvandringsgrunn;2013;06;annet;0;person;213;
befolkning_innvandringsgrunn;2013;06;uoppgitt;0;person;3235;
befolkning_innvandringsgrunn;2013;07; ;alle;person;45715;
befolkning_innvandringsgrunn;2013;07;alle;alle;person;6273;
befolkning_innvandringsgrunn;2013;07;arbeid;alle;person;889;
befolkning_innvandringsgrunn;2013;07;flukt;alle;person;106;
befolkning_innvandringsgrunn;2013;07;familie;alle;person;441;
befolkning_innvandringsgrunn;2013;07;annet;alle;person;538;
befolkning_innvandringsgrunn;2013;07;uoppgitt;alle;person;4299;
befolkning_innvandringsgrunn;2013;07;alle;1;person;882;
befolkning_innvandringsgrunn;2013;07;arbeid;1;person;622;
befolkning_innvandringsgrunn;2013;07;flukt;1;person;52;
befolkning_innvandringsgrunn;2013;07;familie;1;person;150;
befolkning_innvandringsgrunn;2013;07;annet;1;person;47;
befolkning_innvandringsgrunn;2013;07;uoppgitt;1;person;11;
befolkning_innvandringsgrunn;2013;07;alle;0;person;5391;
befolkning_innvandringsgrunn;2013;07;arbeid;0;person;267;
befolkning_innvandringsgrunn;2013;07;flukt;0;person;54;
befolkning_innvandringsgrunn;2013;07;familie;0;person;291;
befolkning_innvandringsgrunn;2013;07;annet;0;person;491;
befolkning_innvandringsgrunn;2013;07;uoppgitt;0;person;4288;
befolkning_innvandringsgrunn;2013;08; ;alle;person;48413;
befolkning_innvandringsgrunn;2013;08;alle;alle;person;7087;
befolkning_innvandringsgrunn;2013;08;arbeid;alle;person;756;
befolkning_innvandringsgrunn;2013;08;flukt;alle;person;138;
befolkning_innvandringsgrunn;2013;08;familie;alle;person;428;
befolkning_innvandringsgrunn;2013;08;annet;alle;person;1332;
befolkning_innvandringsgrunn;2013;08;uoppgitt;alle;person;4433;
befolkning_innvandringsgrunn;2013;08;alle;1;person;1361;
befolkning_innvandringsgrunn;2013;08;arbeid;1;person;532;
befolkning_innvandringsgrunn;2013;08;flukt;1;person;63;
befolkning_innvandringsgrunn;2013;08;familie;1;person;139;
befolkning_innvandringsgrunn;2013;08;annet;1;person;618;
befolkning_innvandringsgrunn;2013;08;uoppgitt;1;person;9;
befolkning_innvandringsgrunn;2013;08;alle;0;person;5726;
befolkning_innvandringsgrunn;2013;08;arbeid;0;person;224;
befolkning_innvandringsgrunn;2013;08;flukt;0;person;75;
befolkning_innvandringsgrunn;2013;08;familie;0;person;289;
befolkning_innvandringsgrunn;2013;08;annet;0;person;714;
