tabell_navn;aar;kommune_id;innvkat_5;kjonn;enhet;tabellvariabel;
befolkning_hovedgruppe;2015;0101;alle;alle;person;30328;
befolkning_hovedgruppe;2015;0101;innvandrere;alle;person;3096;
befolkning_hovedgruppe;2015;0101;befolkningen_ellers;alle;person;27232;
befolkning_hovedgruppe;2015;0101;norskfodte_m_innvf;alle;person;812;
befolkning_hovedgruppe;2015;0101;bef_u_innv_og_norskf;alle;person;26420;
befolkning_hovedgruppe;2015;0101;alle;1;person;15170;
befolkning_hovedgruppe;2015;0101;innvandrere;1;person;1541;
befolkning_hovedgruppe;2015;0101;befolkningen_ellers;1;person;13629;
befolkning_hovedgruppe;2015;0101;norskfodte_m_innvf;1;person;428;
befolkning_hovedgruppe;2015;0101;bef_u_innv_og_norskf;1;person;13201;
befolkning_hovedgruppe;2015;0101;alle;0;person;15158;
befolkning_hovedgruppe;2015;0101;innvandrere;0;person;1555;
befolkning_hovedgruppe;2015;0101;befolkningen_ellers;0;person;13603;
befolkning_hovedgruppe;2015;0101;norskfodte_m_innvf;0;person;384;
befolkning_hovedgruppe;2015;0101;bef_u_innv_og_norskf;0;person;13219;
befolkning_hovedgruppe;2015;0104;alle;alle;person;31802;
befolkning_hovedgruppe;2015;0104;innvandrere;alle;person;4830;
befolkning_hovedgruppe;2015;0104;befolkningen_ellers;alle;person;26972;
befolkning_hovedgruppe;2015;0104;norskfodte_m_innvf;alle;person;1313;
befolkning_hovedgruppe;2015;0104;bef_u_innv_og_norskf;alle;person;25659;
befolkning_hovedgruppe;2015;0104;alle;1;person;15783;
befolkning_hovedgruppe;2015;0104;innvandrere;1;person;2487;
befolkning_hovedgruppe;2015;0104;befolkningen_ellers;1;person;13296;
befolkning_hovedgruppe;2015;0104;norskfodte_m_innvf;1;person;712;
befolkning_hovedgruppe;2015;0104;bef_u_innv_og_norskf;1;person;12584;
befolkning_hovedgruppe;2015;0104;alle;0;person;16019;
befolkning_hovedgruppe;2015;0104;innvandrere;0;person;2343;
befolkning_hovedgruppe;2015;0104;befolkningen_ellers;0;person;13676;
befolkning_hovedgruppe;2015;0104;norskfodte_m_innvf;0;person;601;
befolkning_hovedgruppe;2015;0104;bef_u_innv_og_norskf;0;person;13075;
befolkning_hovedgruppe;2015;0105;alle;alle;person;54192;
befolkning_hovedgruppe;2015;0105;innvandrere;alle;person;7084;
befolkning_hovedgruppe;2015;0105;befolkningen_ellers;alle;person;47108;
befolkning_hovedgruppe;2015;0105;norskfodte_m_innvf;alle;person;1887;
befolkning_hovedgruppe;2015;0105;bef_u_innv_og_norskf;alle;person;45221;
befolkning_hovedgruppe;2015;0105;alle;1;person;27001;
befolkning_hovedgruppe;2015;0105;innvandrere;1;person;3664;
befolkning_hovedgruppe;2015;0105;befolkningen_ellers;1;person;23337;
befolkning_hovedgruppe;2015;0105;norskfodte_m_innvf;1;person;985;
befolkning_hovedgruppe;2015;0105;bef_u_innv_og_norskf;1;person;22352;
befolkning_hovedgruppe;2015;0105;alle;0;person;27191;
befolkning_hovedgruppe;2015;0105;innvandrere;0;person;3420;
befolkning_hovedgruppe;2015;0105;befolkningen_ellers;0;person;23771;
befolkning_hovedgruppe;2015;0105;norskfodte_m_innvf;0;person;902;
befolkning_hovedgruppe;2015;0105;bef_u_innv_og_norskf;0;person;22869;
befolkning_hovedgruppe;2015;0106;alle;alle;person;78159;
befolkning_hovedgruppe;2015;0106;innvandrere;alle;person;9700;
befolkning_hovedgruppe;2015;0106;befolkningen_ellers;alle;person;68459;
befolkning_hovedgruppe;2015;0106;norskfodte_m_innvf;alle;person;2356;
