tabell_navn;aar;fylke_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2013-2014;00;alle;alle;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2013-2014;00;alle;alle;NULL;NULL;person;59766
grunnskolepoeng;2013-2014;00;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2013-2014;00;alle;bef_u_innv_og_norskf;NULL;NULL;person;52808
grunnskolepoeng;2013-2014;00;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2013-2014;00;alle;befolkningen_ellers;NULL;NULL;person;55555
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;0_6;grunnskolepoeng;40,8
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;0_6;person;266
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;7+;grunnskolepoeng;36,2
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;7+;person;1215
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;alle;grunnskolepoeng;37
grunnskolepoeng;2013-2014;00;alle;innvandrere;1;alle;person;1463
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;0_6;person;1027
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;7+;grunnskolepoeng;33,6
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;7+;person;1678
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;alle;grunnskolepoeng;35
grunnskolepoeng;2013-2014;00;alle;innvandrere;2;alle;person;2724
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;0_6;grunnskolepoeng;38
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;0_6;person;1287
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;7+;grunnskolepoeng;34,6
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;7+;person;2896
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;alle;grunnskolepoeng;35,6
grunnskolepoeng;2013-2014;00;alle;innvandrere;alle;alle;person;4200
grunnskolepoeng;2013-2014;00;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2013-2014;00;alle;norskfodte_m_innvf;NULL;NULL;person;2701
grunnskolepoeng;2013-2014;00;1;alle;NULL;NULL;grunnskolepoeng;38,4
grunnskolepoeng;2013-2014;00;1;alle;NULL;NULL;person;30480
grunnskolepoeng;2013-2014;00;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38,8
grunnskolepoeng;2013-2014;00;1;bef_u_innv_og_norskf;NULL;NULL;person;26892
grunnskolepoeng;2013-2014;00;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;38,8
grunnskolepoeng;2013-2014;00;1;befolkningen_ellers;NULL;NULL;person;28314
grunnskolepoeng;2013-2014;00;1;innvandrere;1;0_6;grunnskolepoeng;40
grunnskolepoeng;2013-2014;00;1;innvandrere;1;0_6;person;102
grunnskolepoeng;2013-2014;00;1;innvandrere;1;7+;grunnskolepoeng;35
grunnskolepoeng;2013-2014;00;1;innvandrere;1;7+;person;587
grunnskolepoeng;2013-2014;00;1;innvandrere;1;alle;grunnskolepoeng;35,8
grunnskolepoeng;2013-2014;00;1;innvandrere;1;alle;person;675
grunnskolepoeng;2013-2014;00;1;innvandrere;2;0_6;grunnskolepoeng;36
grunnskolepoeng;2013-2014;00;1;innvandrere;2;0_6;person;518
