tabell_navn;aar;fylke_id;innvkat_5;kjonn;enhet;tabellvariabel;
befolkning_hovedgruppe;2015;00;alle;alle;person;5165802;
befolkning_hovedgruppe;2015;00;innvandrere;alle;person;669380;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;alle;person;4496422;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;alle;person;135583;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;alle;person;4360839;
befolkning_hovedgruppe;2015;00;alle;1;person;2598824;
befolkning_hovedgruppe;2015;00;innvandrere;1;person;351642;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;1;person;2247182;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;1;person;69635;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;1;person;2177547;
befolkning_hovedgruppe;2015;00;alle;0;person;2566978;
befolkning_hovedgruppe;2015;00;innvandrere;0;person;317738;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;0;person;2249240;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;0;person;65948;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;0;person;2183292;
befolkning_hovedgruppe;2015;00;alle;alle;prosent;100,0;
befolkning_hovedgruppe;2015;00;innvandrere;alle;prosent;13,0;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;alle;prosent;87,0;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;alle;prosent;2,6;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;alle;prosent;84,4;
befolkning_hovedgruppe;2015;00;alle;1;prosent;50,3;
befolkning_hovedgruppe;2015;00;innvandrere;1;prosent;6,8;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;1;prosent;43,5;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;1;prosent;1,3;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;1;prosent;42,2;
befolkning_hovedgruppe;2015;00;alle;0;prosent;49,7;
befolkning_hovedgruppe;2015;00;innvandrere;0;prosent;6,2;
befolkning_hovedgruppe;2015;00;befolkningen_ellers;0;prosent;43,5;
befolkning_hovedgruppe;2015;00;norskfodte_m_innvf;0;prosent;1,3;
befolkning_hovedgruppe;2015;00;bef_u_innv_og_norskf;0;prosent;42,3;
