tabell_navn;aar;fylke_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2009;00; ;alle;person;4799252;
befolkning_innvandringsgrunn;2009;00;alle;alle;person;422595;
befolkning_innvandringsgrunn;2009;00;arbeid;alle;person;66874;
befolkning_innvandringsgrunn;2009;00;flukt;alle;person;110116;
befolkning_innvandringsgrunn;2009;00;familie;alle;person;89131;
befolkning_innvandringsgrunn;2009;00;annet;alle;person;17459;
befolkning_innvandringsgrunn;2009;00;uoppgitt;alle;person;139015;
befolkning_innvandringsgrunn;2009;00;alle;1;person;216748;
befolkning_innvandringsgrunn;2009;00;arbeid;1;person;53103;
befolkning_innvandringsgrunn;2009;00;flukt;1;person;55982;
befolkning_innvandringsgrunn;2009;00;familie;1;person;29979;
befolkning_innvandringsgrunn;2009;00;annet;1;person;5984;
befolkning_innvandringsgrunn;2009;00;uoppgitt;1;person;71700;
befolkning_innvandringsgrunn;2009;00;alle;0;person;205847;
befolkning_innvandringsgrunn;2009;00;arbeid;0;person;13771;
befolkning_innvandringsgrunn;2009;00;flukt;0;person;54134;
befolkning_innvandringsgrunn;2009;00;familie;0;person;59152;
befolkning_innvandringsgrunn;2009;00;annet;0;person;11475;
befolkning_innvandringsgrunn;2009;00;uoppgitt;0;person;67315;
befolkning_innvandringsgrunn;2009;00;alle;alle;prosent;100,0;
befolkning_innvandringsgrunn;2009;00;arbeid;alle;prosent;15,8;
befolkning_innvandringsgrunn;2009;00;flukt;alle;prosent;26,1;
befolkning_innvandringsgrunn;2009;00;familie;alle;prosent;21,1;
befolkning_innvandringsgrunn;2009;00;annet;alle;prosent;4,1;
befolkning_innvandringsgrunn;2009;00;uoppgitt;alle;prosent;32,9;
befolkning_innvandringsgrunn;2009;00;alle;1;prosent;51,3;
befolkning_innvandringsgrunn;2009;00;arbeid;1;prosent;12,6;
befolkning_innvandringsgrunn;2009;00;flukt;1;prosent;13,2;
befolkning_innvandringsgrunn;2009;00;familie;1;prosent;7,1;
befolkning_innvandringsgrunn;2009;00;annet;1;prosent;1,4;
befolkning_innvandringsgrunn;2009;00;uoppgitt;1;prosent;17,0;
befolkning_innvandringsgrunn;2009;00;alle;0;prosent;48,7;
befolkning_innvandringsgrunn;2009;00;arbeid;0;prosent;3,3;
befolkning_innvandringsgrunn;2009;00;flukt;0;prosent;12,8;
befolkning_innvandringsgrunn;2009;00;familie;0;prosent;14,0;
befolkning_innvandringsgrunn;2009;00;annet;0;prosent;2,7;
befolkning_innvandringsgrunn;2009;00;uoppgitt;0;prosent;15,9;
