tabell_navn;aar;fylke_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;00;alle;alle;person;188129;
flyktning_botid_flytting;2015;00;0-4;alle;person;43198;
flyktning_botid_flytting;2015;00;5+;alle;person;144931;
flyktning_botid_flytting;2015;00;0-4;ja;person;31414;
flyktning_botid_flytting;2015;00;0-4;nei;person;4152;
flyktning_botid_flytting;2015;00;0-4;uoppgitt;person;7632;
flyktning_botid_flytting;2015;00;5+;ja;person;55987;
flyktning_botid_flytting;2015;00;5+;nei;person;56702;
flyktning_botid_flytting;2015;00;5+;uoppgitt;person;32242;
flyktning_botid_flytting;2015;00;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;00;0-4;alle;prosent;23,0;
flyktning_botid_flytting;2015;00;5+;alle;prosent;77,0;
flyktning_botid_flytting;2015;00;0-4;ja;prosent;16,7;
flyktning_botid_flytting;2015;00;0-4;nei;prosent;2,2;
flyktning_botid_flytting;2015;00;0-4;uoppgitt;prosent;4,1;
flyktning_botid_flytting;2015;00;5+;ja;prosent;29,8;
flyktning_botid_flytting;2015;00;5+;nei;prosent;30,1;
flyktning_botid_flytting;2015;00;5+;uoppgitt;prosent;17,1;
