tabell_navn;aar;fylke_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2006;00; ;alle;personer;4640202;
befolkning_innvandringsgrunn;2006;00;alle;alle;personer;318501;
befolkning_innvandringsgrunn;2006;00;arbeid;alle;personer;19649;
befolkning_innvandringsgrunn;2006;00;flukt;alle;personer;117108;
befolkning_innvandringsgrunn;2006;00;familie;alle;personer;59725;
befolkning_innvandringsgrunn;2006;00;annet;alle;personer;11583;
befolkning_innvandringsgrunn;2006;00;uoppgitt;alle;personer;110436;
befolkning_innvandringsgrunn;2006;00;alle;1;personer;155732;
befolkning_innvandringsgrunn;2006;00;arbeid;1;personer;14583;
befolkning_innvandringsgrunn;2006;00;flukt;1;personer;62906;
befolkning_innvandringsgrunn;2006;00;familie;1;personer;20873;
befolkning_innvandringsgrunn;2006;00;annet;1;personer;4136;
befolkning_innvandringsgrunn;2006;00;uoppgitt;1;personer;53234;
befolkning_innvandringsgrunn;2006;00;alle;0;personer;162769;
befolkning_innvandringsgrunn;2006;00;arbeid;0;personer;5066;
befolkning_innvandringsgrunn;2006;00;flukt;0;personer;54202;
befolkning_innvandringsgrunn;2006;00;familie;0;personer;38852;
befolkning_innvandringsgrunn;2006;00;annet;0;personer;7447;
befolkning_innvandringsgrunn;2006;00;uoppgitt;0;personer;57202;
befolkning_innvandringsgrunn;2007;00; ;alle;personer;4681116;
befolkning_innvandringsgrunn;2007;00;alle;alle;personer;341820;
befolkning_innvandringsgrunn;2007;00;arbeid;alle;personer;29456;
befolkning_innvandringsgrunn;2007;00;flukt;alle;personer;125147;
befolkning_innvandringsgrunn;2007;00;familie;alle;personer;64867;
befolkning_innvandringsgrunn;2007;00;annet;alle;personer;12784;
befolkning_innvandringsgrunn;2007;00;uoppgitt;alle;personer;109566;
befolkning_innvandringsgrunn;2007;00;alle;1;personer;169104;
befolkning_innvandringsgrunn;2007;00;arbeid;1;personer;22722;
befolkning_innvandringsgrunn;2007;00;flukt;1;personer;66829;
befolkning_innvandringsgrunn;2007;00;familie;1;personer;21938;
befolkning_innvandringsgrunn;2007;00;annet;1;personer;4509;
befolkning_innvandringsgrunn;2007;00;uoppgitt;1;personer;53106;
befolkning_innvandringsgrunn;2007;00;alle;0;personer;172716;
befolkning_innvandringsgrunn;2007;00;arbeid;0;personer;6734;
befolkning_innvandringsgrunn;2007;00;flukt;0;personer;58318;
befolkning_innvandringsgrunn;2007;00;familie;0;personer;42929;
befolkning_innvandringsgrunn;2007;00;annet;0;personer;8275;
befolkning_innvandringsgrunn;2007;00;uoppgitt;0;personer;56460;
befolkning_innvandringsgrunn;2008;00; ;alle;personer;4737153;
befolkning_innvandringsgrunn;2008;00;alle;alle;personer;380639;
befolkning_innvandringsgrunn;2008;00;arbeid;alle;personer;48018;
befolkning_innvandringsgrunn;2008;00;flukt;alle;personer;132366;
befolkning_innvandringsgrunn;2008;00;familie;alle;personer;74671;
befolkning_innvandringsgrunn;2008;00;annet;alle;personer;14836;
befolkning_innvandringsgrunn;2008;00;uoppgitt;alle;personer;110748;
befolkning_innvandringsgrunn;2008;00;alle;1;personer;192951;
befolkning_innvandringsgrunn;2008;00;arbeid;1;personer;38259;
befolkning_innvandringsgrunn;2008;00;flukt;1;personer;70560;
befolkning_innvandringsgrunn;2008;00;familie;1;personer;24933;
befolkning_innvandringsgrunn;2008;00;annet;1;personer;5070;
befolkning_innvandringsgrunn;2008;00;uoppgitt;1;personer;54129;
befolkning_innvandringsgrunn;2008;00;alle;0;personer;187688;
befolkning_innvandringsgrunn;2008;00;arbeid;0;personer;9759;
befolkning_innvandringsgrunn;2008;00;flukt;0;personer;61806;
befolkning_innvandringsgrunn;2008;00;familie;0;personer;49738;
befolkning_innvandringsgrunn;2008;00;annet;0;personer;9766;
befolkning_innvandringsgrunn;2008;00;uoppgitt;0;personer;56619;
befolkning_innvandringsgrunn;2009;00; ;alle;personer;4799236;
befolkning_innvandringsgrunn;2009;00;alle;alle;personer;422590;
befolkning_innvandringsgrunn;2009;00;arbeid;alle;personer;66687;
befolkning_innvandringsgrunn;2009;00;flukt;alle;personer;143355;
befolkning_innvandringsgrunn;2009;00;familie;alle;personer;83982;
befolkning_innvandringsgrunn;2009;00;annet;alle;personer;17218;
befolkning_innvandringsgrunn;2009;00;uoppgitt;alle;personer;111348;
befolkning_innvandringsgrunn;2009;00;alle;1;personer;216743;
befolkning_innvandringsgrunn;2009;00;arbeid;1;personer;52971;
befolkning_innvandringsgrunn;2009;00;flukt;1;personer;76334;
befolkning_innvandringsgrunn;2009;00;familie;1;personer;27031;
befolkning_innvandringsgrunn;2009;00;annet;1;personer;5851;
befolkning_innvandringsgrunn;2009;00;uoppgitt;1;personer;54556;
befolkning_innvandringsgrunn;2009;00;alle;0;personer;205847;
befolkning_innvandringsgrunn;2009;00;arbeid;0;personer;13716;
befolkning_innvandringsgrunn;2009;00;flukt;0;personer;67021;
befolkning_innvandringsgrunn;2009;00;familie;0;personer;56951;
befolkning_innvandringsgrunn;2009;00;annet;0;personer;11367;
befolkning_innvandringsgrunn;2009;00;uoppgitt;0;personer;56792;
befolkning_innvandringsgrunn;2010;00; ;alle;personer;4858191;
befolkning_innvandringsgrunn;2010;00;alle;alle;personer;459343;
befolkning_innvandringsgrunn;2010;00;arbeid;alle;personer;78759;
befolkning_innvandringsgrunn;2010;00;flukt;alle;personer;151066;
befolkning_innvandringsgrunn;2010;00;familie;alle;personer;94534;
befolkning_innvandringsgrunn;2010;00;annet;alle;personer;19912;
befolkning_innvandringsgrunn;2010;00;uoppgitt;alle;personer;115072;
befolkning_innvandringsgrunn;2010;00;alle;1;personer;235555;
befolkning_innvandringsgrunn;2010;00;arbeid;1;personer;60698;
befolkning_innvandringsgrunn;2010;00;flukt;1;personer;80402;
befolkning_innvandringsgrunn;2010;00;familie;1;personer;30755;
befolkning_innvandringsgrunn;2010;00;annet;1;personer;6986;
befolkning_innvandringsgrunn;2010;00;uoppgitt;1;personer;56714;
befolkning_innvandringsgrunn;2010;00;alle;0;personer;223788;
befolkning_innvandringsgrunn;2010;00;arbeid;0;personer;18061;
befolkning_innvandringsgrunn;2010;00;flukt;0;personer;70664;
befolkning_innvandringsgrunn;2010;00;familie;0;personer;63779;
befolkning_innvandringsgrunn;2010;00;annet;0;personer;12926;
befolkning_innvandringsgrunn;2010;00;uoppgitt;0;personer;58358;
befolkning_innvandringsgrunn;2011;00; ;alle;personer;4920302;
befolkning_innvandringsgrunn;2011;00;alle;alle;personer;500499;
befolkning_innvandringsgrunn;2011;00;arbeid;alle;personer;96111;
befolkning_innvandringsgrunn;2011;00;flukt;alle;personer;157692;
befolkning_innvandringsgrunn;2011;00;familie;alle;personer;104736;
befolkning_innvandringsgrunn;2011;00;annet;alle;personer;22471;
befolkning_innvandringsgrunn;2011;00;uoppgitt;alle;personer;119489;
befolkning_innvandringsgrunn;2011;00;alle;1;personer;257544;
befolkning_innvandringsgrunn;2011;00;arbeid;1;personer;72245;
befolkning_innvandringsgrunn;2011;00;flukt;1;personer;84055;
befolkning_innvandringsgrunn;2011;00;familie;1;personer;34023;
befolkning_innvandringsgrunn;2011;00;annet;1;personer;7977;
befolkning_innvandringsgrunn;2011;00;uoppgitt;1;personer;59244;
befolkning_innvandringsgrunn;2011;00;alle;0;personer;242955;
befolkning_innvandringsgrunn;2011;00;arbeid;0;personer;23866;
befolkning_innvandringsgrunn;2011;00;flukt;0;personer;73637;
befolkning_innvandringsgrunn;2011;00;familie;0;personer;70713;
befolkning_innvandringsgrunn;2011;00;annet;0;personer;14494;
befolkning_innvandringsgrunn;2011;00;uoppgitt;0;personer;60245;
befolkning_innvandringsgrunn;2012;00; ;alle;personer;4985867;
