"aar","bydel_nr","innvkat_3","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","000301","alle","personer","326618.00","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","000301","alle","prosent","75.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","000301","innvandrere","personer","85579.00","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","000301","innvandrere","prosent","64.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","personer","241039.00","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","prosent","80.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","alle","personer","27187","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","alle","prosent","74.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","innvandrere","personer","7642","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","innvandrere","prosent","60.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","personer","19545","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","prosent","81.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","alle","personer","32032","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","alle","prosent","78","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","innvandrere","personer","8722","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","innvandrere","prosent","66.6","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","personer","23310","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","prosent","83.3","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","alle","personer","23628","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","alle","prosent","78.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","innvandrere","personer","4375","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","innvandrere","prosent","62.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","personer","19253","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030103","befolkningen_ellers","prosent","82.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","alle","personer","22719","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","alle","prosent","80.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","innvandrere","personer","5320","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","innvandrere","prosent","71.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","befolkningen_ellers","personer","17399","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030104","befolkningen_ellers","prosent","83.3","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","alle","personer","31865","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","alle","prosent","78.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","innvandrere","personer","8266","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","innvandrere","prosent","72.3","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","befolkningen_ellers","personer","23599","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030105","befolkningen_ellers","prosent","80.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","alle","personer","15314","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","alle","prosent","79.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","innvandrere","personer","2822","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","innvandrere","prosent","71.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","befolkningen_ellers","personer","12492","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030106","befolkningen_ellers","prosent","82","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","alle","personer","21898","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","alle","prosent","78.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","innvandrere","personer","3729","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","innvandrere","prosent","67.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","befolkningen_ellers","personer","18169","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030107","befolkningen_ellers","prosent","81.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","alle","personer","24404","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","alle","prosent","79.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","innvandrere","personer","4064","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","innvandrere","prosent","64.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","befolkningen_ellers","personer","20340","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030108","befolkningen_ellers","prosent","82.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","alle","personer","14272","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","alle","prosent","74.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","innvandrere","personer","5151","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","innvandrere","prosent","64.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","befolkningen_ellers","personer","9121","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030109","befolkningen_ellers","prosent","81.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","alle","personer","11943","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","alle","prosent","70.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","innvandrere","personer","4801","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","innvandrere","prosent","64.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","befolkningen_ellers","personer","7142","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030110","befolkningen_ellers","prosent","75.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","alle","personer","12815","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","alle","prosent","68.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","innvandrere","personer","5564","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","innvandrere","prosent","61.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","befolkningen_ellers","personer","7251","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030111","befolkningen_ellers","prosent","74.3","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","alle","personer","21384","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","alle","prosent","69.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","innvandrere","personer","8759","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","innvandrere","prosent","62.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","befolkningen_ellers","personer","12625","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030112","befolkningen_ellers","prosent","76.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","alle","personer","23258","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","alle","prosent","78.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","innvandrere","personer","4689","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","innvandrere","prosent","66.7","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","befolkningen_ellers","personer","18569","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030113","befolkningen_ellers","prosent","82.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","alle","personer","23769","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","alle","prosent","80.1","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","innvandrere","personer","3800","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","innvandrere","prosent","69.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","befolkningen_ellers","personer","19969","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030114","befolkningen_ellers","prosent","82.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","alle","personer","16063","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","alle","prosent","69.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","innvandrere","personer","6364","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","innvandrere","prosent","60.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","befolkningen_ellers","personer","9699","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030115","befolkningen_ellers","prosent","76.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","alle","personer","98","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","alle","prosent","71.5","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","innvandrere","personer","36","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","innvandrere","prosent","67.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","befolkningen_ellers","personer","62","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030116","befolkningen_ellers","prosent","73.8","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","alle","personer","844","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","alle","prosent","81.2","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","innvandrere","personer","92","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","innvandrere","prosent","73","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","befolkningen_ellers","personer","752","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030117","befolkningen_ellers","prosent","82.4","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","alle","personer","3125","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","alle","prosent","47.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","innvandrere","personer","1383","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","innvandrere","prosent","38.3","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","befolkningen_ellers","personer","1742","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","030199","befolkningen_ellers","prosent","59.9","sysselsatte_innvkat","NULL","NULL","NULL"
"2013","NULL","alle","personer","2434934","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","alle","prosent","77.3","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","innvandrere","personer","349803","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","innvandrere","prosent","66.8","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","2085131","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","79.3","sysselsatte_innvkat","00","NULL","NULL"
"2013","NULL","alle","personer","125481","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","alle","prosent","72.6","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","innvandrere","personer","16133","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","innvandrere","prosent","60.3","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","109348","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","74.8","sysselsatte_innvkat","01","NULL","NULL"
"2013","NULL","alle","personer","276382","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","alle","prosent","79.2","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","innvandrere","personer","46519","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","innvandrere","prosent","69.7","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","229863","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","81.4","sysselsatte_innvkat","02","NULL","NULL"
"2013","NULL","alle","personer","326618","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","alle","prosent","75.9","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","innvandrere","personer","85579","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","innvandrere","prosent","64.5","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","241039","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","80.9","sysselsatte_innvkat","03","NULL","NULL"
"2013","NULL","alle","personer","86396","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","alle","prosent","74.2","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","innvandrere","personer","7014","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","innvandrere","prosent","61.1","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","79382","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","75.6","sysselsatte_innvkat","04","NULL","NULL"
"2013","NULL","alle","personer","86858","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","alle","prosent","76.8","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","innvandrere","personer","7310","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","innvandrere","prosent","64.1","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","79548","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","78.3","sysselsatte_innvkat","05","NULL","NULL"
"2013","NULL","alle","personer","128947","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","alle","prosent","77.3","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","innvandrere","personer","20455","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","innvandrere","prosent","67.4","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","108492","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","79.5","sysselsatte_innvkat","06","NULL","NULL"
"2013","NULL","alle","personer","108807","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","alle","prosent","74.5","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","innvandrere","personer","12986","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","innvandrere","prosent","66","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","95821","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","75.8","sysselsatte_innvkat","07","NULL","NULL"
"2013","NULL","alle","personer","76650","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","alle","prosent","73.8","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","innvandrere","personer","7505","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","innvandrere","prosent","60.1","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","69145","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","75.7","sysselsatte_innvkat","08","NULL","NULL"
"2013","NULL","alle","personer","50488","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","alle","prosent","73.4","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","innvandrere","personer","5275","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","innvandrere","prosent","63.1","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","45213","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","74.9","sysselsatte_innvkat","09","NULL","NULL"
"2013","NULL","alle","personer","81681","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","alle","prosent","76","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","innvandrere","personer","9673","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","innvandrere","prosent","63.6","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","72008","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","78","sysselsatte_innvkat","10","NULL","NULL"
"2013","NULL","alle","personer","228553","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","alle","prosent","80.7","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","innvandrere","personer","37727","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","innvandrere","prosent","72.7","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","190826","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","82.5","sysselsatte_innvkat","11","NULL","NULL"
"2013","NULL","alle","personer","246463","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","alle","prosent","79.2","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","innvandrere","personer","31518","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","innvandrere","prosent","68.7","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","214945","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","81","sysselsatte_innvkat","12","NULL","NULL"
"2013","NULL","alle","personer","51932","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","alle","prosent","81.6","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","innvandrere","personer","5325","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","innvandrere","prosent","71.3","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","46607","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","83","sysselsatte_innvkat","14","NULL","NULL"
"2013","NULL","alle","personer","124674","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","alle","prosent","79.5","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","innvandrere","personer","14666","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","innvandrere","prosent","72.1","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","110008","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","80.6","sysselsatte_innvkat","15","NULL","NULL"
"2013","NULL","alle","personer","150475","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","alle","prosent","78.4","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","innvandrere","personer","16296","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","innvandrere","prosent","66.9","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","134179","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","80.1","sysselsatte_innvkat","16","NULL","NULL"
"2013","NULL","alle","personer","61778","sysselsatte_innvkat","17","NULL","NULL"
"2013","NULL","alle","prosent","78","sysselsatte_innvkat","17","NULL","NULL"
"2013","NULL","innvandrere","personer","4203","sysselsatte_innvkat","17","NULL","NULL"
"2013","NULL","innvandrere","prosent","63.9","sysselsatte_innvkat","17","NULL","NULL"
"2013","NULL","befolkningen_ellers","personer","57575","sysselsatte_innvkat","17","NULL","NULL"
"2013","NULL","befolkningen_ellers","prosent","79.3","sysselsatte_innvkat","17","NULL","NULL"
