"tabellnavn","aar","bydel_id","invkat_2","vreg_3","enhet","tabellvariabel","flytting"
befolkning_flytting,2014,01,alle,alle,personer,1581,innvandring
befolkning_flytting,2014,02,alle,alle,personer,1864,innvandring
befolkning_flytting,2014,03,alle,alle,personer,856,innvandring
befolkning_flytting,2014,04,alle,alle,personer,1443,innvandring
befolkning_flytting,2014,05,alle,alle,personer,2598,innvandring
befolkning_flytting,2014,06,alle,alle,personer,597,innvandring
befolkning_flytting,2014,07,alle,alle,personer,985,innvandring
befolkning_flytting,2014,08,alle,alle,personer,1193,innvandring
befolkning_flytting,2014,09,alle,alle,personer,710,innvandring
befolkning_flytting,2014,10,alle,alle,personer,441,innvandring
befolkning_flytting,2014,11,alle,alle,personer,656,innvandring
befolkning_flytting,2014,12,alle,alle,personer,770,innvandring
befolkning_flytting,2014,13,alle,alle,personer,499,innvandring
befolkning_flytting,2014,14,alle,alle,personer,672,innvandring
befolkning_flytting,2014,15,alle,alle,personer,739,innvandring
befolkning_flytting,2014,16,alle,alle,personer,121,innvandring
befolkning_flytting,2014,17,alle,alle,personer,23,innvandring
befolkning_flytting,2014,99,alle,alle,personer,25,innvandring
befolkning_flytting,2014,01,innvandrere,alle,personer,1371,innvandring
befolkning_flytting,2014,02,innvandrere,alle,personer,1681,innvandring
befolkning_flytting,2014,03,innvandrere,alle,personer,719,innvandring
befolkning_flytting,2014,04,innvandrere,alle,personer,1271,innvandring
befolkning_flytting,2014,05,innvandrere,alle,personer,2266,innvandring
befolkning_flytting,2014,06,innvandrere,alle,personer,481,innvandring
befolkning_flytting,2014,07,innvandrere,alle,personer,792,innvandring
befolkning_flytting,2014,08,innvandrere,alle,personer,1065,innvandring
befolkning_flytting,2014,09,innvandrere,alle,personer,630,innvandring
befolkning_flytting,2014,10,innvandrere,alle,personer,381,innvandring
befolkning_flytting,2014,11,innvandrere,alle,personer,540,innvandring
befolkning_flytting,2014,12,innvandrere,alle,personer,665,innvandring
befolkning_flytting,2014,13,innvandrere,alle,personer,426,innvandring
befolkning_flytting,2014,14,innvandrere,alle,personer,554,innvandring
befolkning_flytting,2014,15,innvandrere,alle,personer,617,innvandring
befolkning_flytting,2014,16,innvandrere,alle,personer,116,innvandring
befolkning_flytting,2014,17,innvandrere,alle,personer,19,innvandring
befolkning_flytting,2014,99,innvandrere,alle,personer,21,innvandring
befolkning_flytting,2014,01,innvandrere,1,personer,769,innvandring
befolkning_flytting,2014,01,innvandrere,2,personer,602,innvandring
befolkning_flytting,2014,02,innvandrere,1,personer,1117,innvandring
befolkning_flytting,2014,02,innvandrere,2,personer,564,innvandring
befolkning_flytting,2014,03,innvandrere,1,personer,461,innvandring
befolkning_flytting,2014,03,innvandrere,2,personer,258,innvandring
befolkning_flytting,2014,04,innvandrere,1,personer,787,innvandring
befolkning_flytting,2014,04,innvandrere,2,personer,484,innvandring
befolkning_flytting,2014,05,innvandrere,1,personer,1478,innvandring
befolkning_flytting,2014,05,innvandrere,2,personer,788,innvandring
befolkning_flytting,2014,06,innvandrere,1,personer,288,innvandring
befolkning_flytting,2014,06,innvandrere,2,personer,193,innvandring
befolkning_flytting,2014,07,innvandrere,1,personer,465,innvandring
befolkning_flytting,2014,07,innvandrere,2,personer,327,innvandring
befolkning_flytting,2014,08,innvandrere,1,personer,502,innvandring
befolkning_flytting,2014,08,innvandrere,2,personer,563,innvandring
befolkning_flytting,2014,09,innvandrere,1,personer,309,innvandring
befolkning_flytting,2014,09,innvandrere,2,personer,321,innvandring
befolkning_flytting,2014,10,innvandrere,1,personer,156,innvandring
befolkning_flytting,2014,10,innvandrere,2,personer,225,innvandring
befolkning_flytting,2014,11,innvandrere,1,personer,228,innvandring
befolkning_flytting,2014,11,innvandrere,2,personer,312,innvandring
befolkning_flytting,2014,12,innvandrere,1,personer,286,innvandring
befolkning_flytting,2014,12,innvandrere,2,personer,379,innvandring
befolkning_flytting,2014,13,innvandrere,1,personer,220,innvandring
befolkning_flytting,2014,13,innvandrere,2,personer,206,innvandring
befolkning_flytting,2014,14,innvandrere,1,personer,360,innvandring
befolkning_flytting,2014,14,innvandrere,2,personer,194,innvandring
befolkning_flytting,2014,15,innvandrere,1,personer,319,innvandring
befolkning_flytting,2014,15,innvandrere,2,personer,298,innvandring
befolkning_flytting,2014,16,innvandrere,1,personer,85,innvandring
befolkning_flytting,2014,16,innvandrere,2,personer,31,innvandring
befolkning_flytting,2014,17,innvandrere,1,personer,17,innvandring
befolkning_flytting,2014,17,innvandrere,2,personer,2,innvandring
befolkning_flytting,2014,99,innvandrere,1,personer,7,innvandring
befolkning_flytting,2014,99,innvandrere,2,personer,14,innvandring
befolkning_flytting,2014,01,alle,alle,personer,775,utvandring
befolkning_flytting,2014,02,alle,alle,personer,929,utvandring
befolkning_flytting,2014,03,alle,alle,personer,501,utvandring
befolkning_flytting,2014,04,alle,alle,personer,686,utvandring
befolkning_flytting,2014,05,alle,alle,personer,1389,utvandring
befolkning_flytting,2014,06,alle,alle,personer,287,utvandring
befolkning_flytting,2014,07,alle,alle,personer,520,utvandring
befolkning_flytting,2014,08,alle,alle,personer,621,utvandring
befolkning_flytting,2014,09,alle,alle,personer,333,utvandring
befolkning_flytting,2014,10,alle,alle,personer,197,utvandring
befolkning_flytting,2014,11,alle,alle,personer,300,utvandring
befolkning_flytting,2014,12,alle,alle,personer,400,utvandring
befolkning_flytting,2014,13,alle,alle,personer,242,utvandring
befolkning_flytting,2014,14,alle,alle,personer,283,utvandring
befolkning_flytting,2014,15,alle,alle,personer,348,utvandring
befolkning_flytting,2014,16,alle,alle,personer,63,utvandring
befolkning_flytting,2014,17,alle,alle,personer,9,utvandring
befolkning_flytting,2014,99,alle,alle,personer,803,utvandring
befolkning_flytting,2014,01,innvandrere,alle,personer,510,utvandring
befolkning_flytting,2014,02,innvandrere,alle,personer,713,utvandring
befolkning_flytting,2014,03,innvandrere,alle,personer,334,utvandring
befolkning_flytting,2014,04,innvandrere,alle,personer,556,utvandring
befolkning_flytting,2014,05,innvandrere,alle,personer,1132,utvandring
befolkning_flytting,2014,06,innvandrere,alle,personer,210,utvandring
befolkning_flytting,2014,07,innvandrere,alle,personer,382,utvandring
befolkning_flytting,2014,08,innvandrere,alle,personer,521,utvandring
befolkning_flytting,2014,09,innvandrere,alle,personer,210,utvandring
befolkning_flytting,2014,10,innvandrere,alle,personer,121,utvandring
befolkning_flytting,2014,11,innvandrere,alle,personer,163,utvandring
befolkning_flytting,2014,12,innvandrere,alle,personer,261,utvandring
befolkning_flytting,2014,13,innvandrere,alle,personer,142,utvandring
befolkning_flytting,2014,14,innvandrere,alle,personer,196,utvandring
befolkning_flytting,2014,15,innvandrere,alle,personer,210,utvandring
