"cardName";"description";"terminology";"source";"measuredAt";"updatedAt"
"befolkning_hovedgruppe";"Her ser du befolkningssammensetningen fordelt på kjønn for valgt område. Du kan velge mellom antall personer eller prosentandel. Det skilles mellom hele befolkningen, innvandrere, befolkningen unntatt innvandrere, norskfødte med innvandrerforeldre, og befolkningen unntatt innvandrere og norskfødte med innvandrerforeldre. ";"";"SSB";"1.1.2014";""
"flyktninger_befolkningsandel";"Her ser du andelen personer som er bosatt i Norge siste år per 1000 innbyggere ved inngangen av året, befolkningstall er tilgjengelig for kommuner, fylker, næringsregioner og hele landet.";"Bosatt: En flyktning er bosatt når han eller hun ankommer kommunen som har vedtatt å bosette han eller henne.";"IMDi";"";""
"befolkning_verdensregion_aattedelt";"Her ser du opprinnelsen til innvandrere og norskfødte med innvandrerforeldre i valgt område. Opprinnelsen er delt opp i åtte verdensregioner. Figuren viser antall personer.";"";"SSB";"1.1.2014";""
"befolkning_verdensregion_femdelt";"Her ser du opprinnelsen til innvandrere og norskfødte med innvandrerforeldre i valgt område. Opprinnelsen er delt opp i fem verdensregioner. Figuren viser antall personer.";"";"SSB";"1.1.2014";""
"befolkning_verdensregion_todelt";"Her ser du opprinnelsen til innvandrere og norskfødte med innvandrerforeldre i valgt område. Opprinnelsen er delt opp i to verdensregioner. Figuren viser antall personer fordelt på kjønn.";"";"SSB";"1.1.2014";""
"befolkning_opprinnelsesland";"Her ser du opprinnelseslandene til innvandrere og norskfødte med innvandrerforeldre  i valgt område. Dersom det er mindre enn fire personer fra et land vil  disse samles i  kategorien ""Andre"". Figuren viser antall personer.";"";"SSB";"1.1.2014";""
"befolkning_alder";"Her ser du aldersinndeling for innvandrere og befolkningen unntatt innvandrere i  valgt område etter funksjonell aldersinndeling og kjønn. Funksjonell aldersinndeling er 0-5 år (barnehagealder), 6-15 år (grunnskolealder), 16-19 år (videregående skole-alder), 20-29  år (høyere utdanning/arbeid), 30-54  år(arbeidsfør alder), 55-66 år (arbeidsfør alder), 67 år + (pensjonsalder). ";"";"SSB";"1.1.2014";""
"befolkning_innvandringsgrunn";"Her ser du innvandrere fordelt på innvandringsgrunn og kjønn. Innvandringsgrunn er fordelt på arbeid, familie, flukt, utdanning og andre.";"";"SSB";"1.1.2014";""
"befolkning_botid";"Her ser du hvor lenge innvandrere har bodd i valgt område. Botiden er delt i tre kategorier, og innvandrernes bakgrunn er delt inn i to verdensregioner. ";"";"SSB";"1.1.2014";""
"flyktning_botid_flytting";"Her ser du antall flyktninger som bor i valgt område og antall flyktninger som flyttet hit. Det skilles mellom kort botid (0-4 år) og lang botid (5 år eller mer). ";"";"SSB";"1.1.2014";""
"flytting";"Her ser du antall personer som har flyttet inn til eller ut fra valgt område.  Det skilles mellom flytting fra/til utlandet (innvandring/utvandring) og flytting til/fra annen kommune i Norge (innflytting/utflytting). Tallene vises for innvandrere og befolkningen unntatt innvandrere. ";"Flytting: Flytting er når en person melder flytting til en annen norske kommuner eller til utlandet. Dersom en person flytter flere ganger i det samme kalenderåret, teller hver gang som en flytting. I flyttetallene for fylker og landsdeler er flyttinger mellom kommunene i fylket/landsdelen ikke regnet med. Nettoflytting/nettoinnvandring: Nettoinnvandring er differansen mellom innvandring og utvandring. Nettoinnflytting er differansen mellom innflyttinger og utflyttinger. Netto innvandring og netto innflytting er differansen mellom innvandring og innflytting, og utvandring og utflytting. ";"SSB";"1.1.2014";""
"flytting";"Her ser du antall personer som har flyttet inn til eller ut fra valgt område.  Det skilles mellom flytting fra/til utlandet (innvandring/utvandring) og flytting til/fra annen kommune i Norge (innflytting/utflytting). Tallene vises for personer fra EU/EFTA-land, Nord-Amerika, Australia og New Zealand, og personer fra Øst-Europa utenom EU, Asia (inkl. Tyrkia), Afrika, Sør- og Mellom-Amerika, og Oseania utenom Australia og New Zealand. ";"Flytting: Flytting er når en person melder flytting til en annen norske kommuner eller til utlandet. Dersom en person flytter flere ganger i det samme kalenderåret, teller hver gang som en flytting. I flyttetallene for fylker og landsdeler er flyttinger mellom kommunene i fylket/landsdelen ikke regnet med. Nettoflytting/nettoinnvandring: Nettoinnvandring er differansen mellom innvandring og utvandring. Nettoinnflytting er differansen mellom innflyttinger og utflyttinger. Netto innvandring og netto innflytting er differansen mellom innvandring og innflytting, og utvandring og utflytting. ";"IMDi";"2014: 11.mars ";""
"bosatt_anmodede";"Her ser du antall personer IMDi har anmodet kommunen om å bosette, hvor mange kommunen har vedtatt å bosette, og hvor mange som faktisk ble bosatt siste år. Du kan også se hvor stor andel av IMDis anmodning kommunen har vedtatt å bosette og faktisk bosatt. ";"Anmodet bosatt: Anmodningen er det antallet flyktninger staten ber en kommune om å bosette. Kommunene vedtar selv hvor mange flyktninger de skal bosette i løpet av året. Vedtatt bosatt: Antall flyktninger kommunen har vedtatt å bosette i løpet av året. Bosatte: En flyktning er bosatt når han eller hun ankommer kommunen som har vedtatt å bosette han eller henne.";"IMDi";"2014: 11.mars ";""
"bosatt_vedtak";"Her ser du antall personer som kommuene har vedtatt å bosette siste år, antall personer som er bosatt siste år og antall bosatte delt på antall vedtatt bosatte. Tall er tilgjengelig for kommuner, næringsregioner, fylker og hele landet.";"Vedtatt bosatt: Antall flyktninger kommunen har vedtatt å bosette i løpet av året. Bosatte: En flyktning er bosatt når han eller hun ankommer kommunen som har vedtatt å bosette han eller henne.";"IMDi";"";""
"barnehage-forholde-minoriteter";"Her ser du antall og andel barn i barnehagealder i valgt område. Det skilles mellom barn med og uten innvandrerbakgrunn, fordelt på aldersgrupper fra 1 til 5 år. ";"";"SSB";"15.12.2013";""
"barnehage-alder-minoriteter";"Her ser du antall og andel barn i valgt område som går i barnehage. FIguren viser tall for alle barn, minoritetsspråklige barn og ikke-minoritetsspråklige barn. ";"Minoritetsspråklige barn er barn med annet morsmål (førstespråk) enn norsk, samisk, svensk, dansk eller engelsk. Morsmål er det språket som brukes i dagligtale i hjemmet. ";"SSB";"15.12.2013";""
"gjennomsnittlige-grunnskolepoeng";"Her ser du hvor mange elever som avsluttet tiende klasse i valgt år, og deres gjennomsnittlige grunnskolepoeng. Det finnes tall for alle elever, elever utenom innvandrere og norskfødte med innvandrerforeldre, innvandrere , og norskfødte med innvandrerforeldre. ";"Grunnskole: Første til tiende klasse";"SSB";"";""
"voksne-i-grunnskolen";"Her ser du antall og andel voksne i grunnskolen, etter minoritetsspråklig bakgrunn, og antall elever etter undervisningstype.";"Grunnskole: Første til tiende klasse. Språklige minoriteter: personer med andre morsmål (førstespråk) enn norsk og samisk. Morsmål er det språket som brukes i dagligtale i hjemmet. ";"SSB";"";""
"";"Her ser du antall og andel elever i videregående skole i valgt område.  Figuren viser data for årene 2011 til 2013 slått sammen, og viser dermed total deltakelse i videregående skole i valgt område i denne perioden. Det finnes tall for innvandrere, befolkningen utenom innvandrere og norskfødte med innvandrerforeldre, og norskfødte med innvandrerforeldre. Andel elver viser her til hvor stor andel som for eksempel er norskfødte med innvandrerforeldre og kvinner av dem som var elever i videregående skole i valgt område i perioden. ";"Deltagelse i videregående skole er en samlebetegnelse for antall elever i videregående skole, lærlinger, lærerkandidater, elever på folkehøyskoler, og elever på arbeidsmarkedskurs. ";"SSB";"1.10.2014";""
"";"Her ser du antall og andel elever som har fullført videregående skole innen fem år etter påbegynt opplæring i valgt område. Det finnes tall for innvandrere, befolkningen unntatt innvandrere, norskfødte med innvandrerforeldre, og befolkningen utenom innvandrere og norskfødte med innvandrerforeldre.";"Deltagelse i videregående skole er en samlebetegnelse for antall elever i videregående skole, lærlinger, lærerkandidater, elever på folkehøyskoler, og elever på arbeidsmarkedskurs. ";"SSB";"";""
"";"Her ser du antall og andel personer mellom 16 og 25 år som ikke er i opplæring eller har fullført/bestått videregående i valgt område. Det finnes tall for innvandrere, befolkningen unntatt innvandrere, norskfødte med innvandrerforeldre, og befolkningen utenom innvandrere og norskfødte med innvandrerforeldre. ";"Deltagelse i videregående skole er en samlebetegnelse for antall elever i videregående skole, lærlinger, lærerkandidater, elever på folkehøyskoler, og elever på arbeidsmarkedskurs.
Fullføring av videregående skole: Å ha fullført videregående skole betyr at  eleven har fått vitnemål. Vitnemål er dokumentasjon for bestått opplæringsløp som enten gir studie eller yrkeskompetanse. For folkehøgskoler og annen utdanning på videregående nivå betyr fullført at kurset eller utdanningen er gjennomført. ";"SSB";"?";""
"voksne-i-videregaaende";"Her ser du antall og andel voksne elever i videregående skole i valgt område. Det finnes tall for minoritetsspråklige og ikke-minoritetsspråklige. Enkelte kommuner mangler i tabellen. Dette er kommuner uten voksne elever.";"Deltagelse i videregående skole er en samlebetegnelse for antall elever i videregående skole, lærlinger, lærerkandidater, elever på folkehøyskoler, og elever på arbeidsmarkedskurs.";"SSB";"";""
"utdanningsniva-grunnskole";"Her ser du antall og andel personer mellom 30-49 år i valgt område som har grunnskole som høyeste utdanningsnivå.  Figuren viser tall for hele befolkningen, innvandrere og befolkningen unntatt innvandrere, samt for kvinner og menn. ";"Grunnskole: første til tiende klasse.";"SSB";"1.10.2013";""
"utdanningsniva-videregaaende";"Her ser du antall og andel personer mellom 30-49 år i valgt område som har videregående skole som høyeste utdanningsnivå. Figuren viser tall for hele befolkningen, innvandrere og befolkningen unntatt innvandrere, samt for kvinner og menn.";"Deltagelse i videregående skole er en samlebetegnelse for antall elever i videregående skole, lærlinger, lærerkandidater, elever på folkehøyskoler, og elever på arbeidsmarkedskurs. Fullføring av videregående skole: Å ha fullført videregående skole betyr at  eleven har fått vitnemål. Vitnemål er dokumentasjon for bestått opplæringsløp som enten gir studie eller yrkeskompetanse. For folkehøgskoler og annen utdanning på videregående nivå betyr fullført at kurset eller utdanningen er gjennomført. ";"SSB";"1.10.2013";""
"utdanningsniva-universitet-og-hoyskole";"Her ser du antall og andel personer mellom 30-49 år i valgt område som har universitet eller høyskole som høyeste utdanningsnivå. Figuren viser tall for hele befolkningen, innvandrere og befolkningen unntatt innvandrere, samt for kvinner og menn.";"";"SSB";"1.10.2013";""
"utdanningsniva-uoppgitt-ingen";"Her ser du antall og andel personer mellom 30-49 år i valgt område hvor høyeste utdanningsnivå er uoppgitt. Figuren viser tall for hele befolkningen, innvandrere og befolkningen unntatt innvandrere, samt for kvinner og menn.";"";"SSB";"1.10.2013";""
"norskopplaering-antall-deltagere";"Her ser du antall deltakere i norskopplæring i valgt område. Deltakerne er fordelt basert på sine rettigheter til norskopplæring etter introduksjonsloven; rett og/eller plikt, plikt, rett, og rett og plikt. ";"Introduksjonsloven:
Introduksjonsloven regulerer enkeltpersoners rettigheter til introduksjonsprogram og opplæring i norsk og samfunnskunnskap for voksne innvandrere. Formålet med loven er å styrke innvandreres mulighet for å delta i yrkes- og samfunnslivet. 

Rett og plikt til opplæring i norsk og samfunnskunnskap:
-Å ha rett og plikt til norskopplæring betyr at personen har krav på gratis norskopplæring fra kommunen den er bosatt i, og at lovpålagt norskopplæring må være gjennomført før det søkes om permanent oppholdstillatelse og norsk statsborgerskap.
-Å ha rett til norskopplæring betyr at personen har krav på gratis opplæring i norsk og samfunnskunnskap fra kommunen den er bosatt i.
-Å ha plikt til norskopplæring betyr at personen må ha gjennomført lovpålagt opplæring i norsk og samfunnskunnskap for å kunne søke om permanent oppholdstillatelse eller statsborgerskap i Norge. De som bare har plikt til opplæring må betale for undervisningen selv.

Introduksjonsprogrammet: Introduksjonsprogrammet er et opplæringsprogram for flyktninger og familiegjenforente med flyktninger.  I hovedsak består programmet av fagene norsk og samfunnskunnskap, samt yrkesrettet språkpraksis eller andre tiltak som forbereder til videre opplæring eller tilknytning til arbeidslivet. Målet er at deltakerne skal delta i arbeids- og samfunnslivet, og hjelpe dem til å bli økonomisk selvstendige. 
Opplæring i norsk og samfunnskunnskap: inngår som en del av introduksjonsprogrammet, og består av 600 timer opplæring i norsk og 50 timer opplæring i samfunnskunnskap. ";"IMDi";"";""
"norskopplaering-resultater";"Her ser du antall og andel prøvedeltakere i valgt område. Deltakerne er fordelt på prøveresultatene alle, nivå B1, nivå A2, nivå A1, under nivå A1 og ikke vurdert.  Prøvene er delt i følgende delprøver: muntlig, lytteforståelse, leseforståelse og skriftlig. ";"Prøver i norsk og samfunnskunnskap: ";"Vox";"juli 2014";""
"";"";"";"";"";""
"deltakere-introprogram";"Her ser du antall deltakere i introduksjonsprogrammet i valgt enkeltår og område. Tallene er hentet fra Nasjonalt Introduksjonsregister.";"Introduksjonsprogrammet: Introduksjonsprogrammet er et opplæringsprogram for flyktninger og familiegjenforente med flyktninger. I hovedsak består programmet av fagene norsk og samfunnskunnskap, samt yrkesrettet språkpraksis eller andre tiltak som forbereder til videre opplæring eller tilknytning til arbeidslivet. Målet er at deltakerne skal delta i arbeids- og samfunnslivet, og hjelpe dem til å bli økonomisk selvstendige.";"IMDi";"17. mars 2015";""
